群名,群类别,群人数,消息数,稠密度,性别比,平均年龄,年龄差,地域集中度,手机比例,会话数,无回应比例,夜聊比例,图片比例
**手酒吧,1.0,63.0,315.0,0.0517153097798,0.882352941176,26.6818181818,6.40941327365,0.222222222222,0.0888888888889,23.0,0.434782608696,0.0857142857143,0.0698412698413
**秀嘉园,1.0,73.0,2.0,0.0102739726027,0.579710144928,27.5,9.0425240602,0.406779661017,0.0,2.0,1.0,1.0,0.0
**ˇ⒊無黒\噵丶⒈群,1.0,73.0,4.0,0.0241628614916,0.75,23.4153846154,4.69989298632,0.287878787879,0.5,4.0,1.0,0.0,0.25
**海网管工作联系基地,1.0,91.0,14.0,0.00610500610501,0.901639344262,29.4090909091,2.85496522681,0.340425531915,0.142857142857,7.0,1.0,0.25,0.0
tbsgame.net/bbs,1.0,133.0,2112.0,0.0111073137389,0.961832061069,30.3196721311,4.66986571479,0.110236220472,0.167140151515,327.0,0.532110091743,0.104640151515,0.0378787878788
**拜DOTA粉丝群,1.0,85.0,91.0,0.0350140056022,0.903614457831,26.1125,4.4158627413,0.617283950617,0.153846153846,30.0,0.7,0.142857142857,0.0659340659341
**踏联盟,1.0,60.0,22.0,0.0381355932203,0.807692307692,29.7380952381,4.61910898339,0.357142857143,1.0,4.0,0.5,1.0,0.0454545454545
**手军团,1.0,74.0,115.0,0.0862643465383,0.833333333333,26.3134328358,4.2292829752,0.228571428571,0.208695652174,20.0,0.55,0.0347826086957,0.0260869565217
**度赤水贴吧,1.0,55.0,1940.0,0.0919191919192,0.759259259259,24.4150943396,4.65177573018,0.745454545455,0.548969072165,193.0,0.414507772021,0.238782877772,0.0175257731959
**涂鸦天津+,1.0,63.0,48.0,0.0437788018433,0.838709677419,23.9333333333,4.45670531023,0.716666666667,0.208333333333,18.0,0.722222222222,0.0833333333333,0.0
ns万有引力--颓废1群,1.0,72.0,177.0,0.0160406885759,0.87323943662,22.4153846154,4.49578369207,0.119402985075,0.175141242938,19.0,0.842105263158,0.327683615819,0.00564971751412
**弟盟罗马战队总群,1.0,203.0,4615.0,0.0195825001219,0.935323383085,28.2,5.07761973982,0.577540106952,0.0448537378115,546.0,0.496336996337,0.300108342362,0.0580715059588
**我的领地③,1.0,81.0,5.0,0.00586419753086,0.705128205128,27.9090909091,6.82847707571,0.127659574468,0.4,3.0,1.0,0.6,0.0
**游戏圈』市场销售,1.0,76.0,2.0,0.0387719298246,0.788732394366,30.4375,3.16659813522,0.246153846154,0.0,1.0,1.0,0.0,0.0
**兽世界-兄弟盟,1.0,98.0,3.0,0.0416579002735,0.81914893617,29.0111111111,4.03455751242,0.354838709677,0.0,2.0,1.0,0.666666666667,0.0
**傲江湖,1.0,113.0,100.0,0.0930783817952,0.779816513761,37.3465346535,3.7082611643,0.121495327103,0.12,31.0,0.612903225806,0.0,0.03
**下易家人（一）,1.0,185.0,51.0,0.0146004700353,0.859550561798,28.4857142857,6.1614999499,0.307262569832,0.352941176471,31.0,0.838709677419,0.156862745098,0.0588235294118
**火重生,1.0,64.0,35.0,0.0577876984127,0.870967741935,29.2678571429,4.45409551275,0.125,0.457142857143,11.0,0.636363636364,0.0571428571429,0.0285714285714
**缘丨战团,1.0,51.0,12.0,0.0196078431373,0.877551020408,24.5365853659,4.58575504316,0.19512195122,0.166666666667,8.0,0.875,0.0833333333333,0.0833333333333
**∮龍嘯九天∮→,1.0,100.0,11.0,0.0274747474747,0.753424657534,28.0188679245,7.90149392619,0.259259259259,0.272727272727,6.0,0.833333333333,0.636363636364,0.272727272727
**际の高手乐园,1.0,81.0,21.0,0.0118827160494,0.932203389831,26.6222222222,4.60091241622,0.212765957447,0.0,5.0,1.0,0.0,0.0
**强撸基友团”教会,1.0,274.0,143763.0,0.00414427421727,0.933823529412,21.9310344828,4.71516613177,0.776119402985,0.157446630913,306.0,0.209150326797,0.242585874341,0.201609593567
**西北CS竞技比赛群》,1.0,170.0,19.0,0.00508179603202,0.773913043478,24.6666666667,6.43896866434,0.397727272727,0.263157894737,14.0,0.928571428571,0.166666666667,0.0
JPOPPV-衣の国度,1.0,58.0,17.0,0.0308529945554,0.87037037037,26.28,6.80305813587,0.3,0.294117647059,4.0,0.5,0.0,0.0
**培集中营,1.0,110.0,36.0,0.00917431192661,0.78125,27.0980392157,5.54572756224,0.11320754717,0.138888888889,12.0,1.0,0.0285714285714,0.0
**国电梯论坛群十九,1.0,80.0,22.0,0.00775316455696,0.822580645161,29.4634146341,6.60043443129,0.190476190476,0.0,12.0,1.0,0.0909090909091,0.0
**团休闲娱乐总群,1.0,51.0,525.0,0.0541176470588,0.843137254902,17.693877551,3.13768458524,0.367346938776,0.24380952381,35.0,0.542857142857,0.158095238095,0.00761904761905
**洲澄海3C,1.0,63.0,14.0,0.063236047107,0.927272727273,25.0666666667,8.52551725378,0.734693877551,0.214285714286,7.0,0.857142857143,0.714285714286,0.0
SD王者之师,1.0,72.0,62.0,0.02093114241,0.852459016393,22.307692307700002,5.24968299973,0.377358490566,0.0806451612903,21.0,0.809523809524,0.225806451613,0.0967741935484
**界至尊魔族,1.0,52.0,309.0,0.0384615384615,0.442307692308,23.7,3.16385840391,0.196078431373,0.15857605178,42.0,0.690476190476,0.0906148867314,0.00323624595469
**姆-部落(魔兽世界),1.0,62.0,23.0,0.0187731359069,0.811320754717,24.7954545455,4.99808847758,0.204545454545,0.478260869565,8.0,0.875,0.0,0.0869565217391
**.神话家族审核,1.0,52.0,11798.0,0.0211161387632,0.673076923077,23.4705882353,8.22085569034,0.173076923077,0.027292761485,300.0,0.31,0.36463807425,0.0673843024241
**手外汇黄金喊单群,1.0,54.0,1.0,0.0104821802935,0.6875,32.0476190476,7.47361193021,0.166666666667,0.0,1.0,1.0,0.0,0.0
**闲粉丝群,1.0,106.0,30.0,0.00350404312668,0.943396226415,25.6091954023,6.9899045787,0.108695652174,0.2,17.0,0.882352941176,0.214285714286,0.0333333333333
**尚犀牛网,1.0,438.0,1687.0,0.00270628924903,0.826789838337,24.279342723,3.74847644041,0.158139534884,0.0195613515116,131.0,0.541984732824,0.0598695909899,0.0782454060462
**,1.0,54.0,89.0,0.0719776380154,0.865384615385,28.9591836735,4.17455452187,0.22,0.404494382022,25.0,0.76,0.511363636364,0.0337078651685
CHK帝国联盟,1.0,74.0,2.0,0.0557201036653,0.824324324324,29.1911764706,4.6439630418,0.185714285714,0.0,2.0,1.0,1.0,0.0
**哇河北粉丝群,1.0,79.0,18.0,0.0157416423239,0.0597014925373,26.6603773585,5.00921187725,0.62962962963,0.777777777778,4.0,1.0,0.0,0.0
EVE-沙丘军团,1.0,155.0,6229.0,0.0258064516129,0.960526315789,25.7302631579,5.36309317016,0.111111111111,0.235190239204,526.0,0.422053231939,0.181540930979,0.0250441483384
**情团队总群,1.0,192.0,60.0,0.00681719022688,0.923913043478,26.245508982,4.79703883945,0.12426035503,0.133333333333,37.0,0.864864864865,0.4,0.05
**古网游公会主力1群,1.0,143.0,515.0,0.0281690140845,0.829787234043,29.1692307692,5.69903967826,0.126865671642,0.0271844660194,45.0,0.511111111111,0.196498054475,0.021359223301
**盟全球购加盟商,1.0,86.0,135.0,0.030779753762,0.666666666667,27.698630137,6.27821833968,0.171052631579,0.111111111111,21.0,0.666666666667,0.0222222222222,0.0
**迁龙豪苗圃,1.0,76.0,697.0,0.0166666666667,0.878378378378,31.2307692308,7.51156898651,0.161764705882,0.0817790530846,444.0,0.777027027027,0.268115942029,0.0
